"Age" "mx" "qx" "px" "lx" "dx" "Lx" "Tx" "ex"
42 0.000712 0.000711746618203919 0.999288253381796 98961.5734979523 70.4355652693062 98926.3557153177 4385513.98706598 44.3153219179233
43 0.000777 0.000776698252728815 0.999223301747271 98891.137932683 76.8085740426791 98852.7336456617 4286587.63135066 43.3465295370412
44 0.000935 0.000934563091754605 0.999065436908245 98814.3293586403 92.3482251550687 98768.1552460628 4187734.897705 42.3798342293645
45 0.00113 0.00112936191052056 0.998870638089479 98721.9811334853 111.492845223287 98666.2347108736 4088966.74245894 41.4190101891301
46 0.001042 0.00104145740069424 0.998958542599306 98610.488288262 102.698622813883 98559.138976855 3990300.50774806 40.4652748101547
47 0.001202 0.00120127803190283 0.998798721968097 98507.7896654481 118.335243696407 98448.6220435999 3891741.36877121 39.506940334245
48 0.001308 0.00130714512708689 0.998692854872913 98389.4544217517 128.60929590413 98325.1497737996 3793292.74672761 38.553854872164
49 0.001462 0.00146093205866512 0.998539067941335 98260.8451258475 143.552418755879 98189.0689164696 3694967.59695381 37.6036618881252
50 0.001581 0.00157975120667113 0.998420248793329 98117.2927070917 155.000911549332 98039.792251317 3596778.52803734 36.6579471243133
51 0.001727 0.00172551002209592 0.998274489977904 97962.2917955423 169.034916280693 97877.774337402 3498738.73578602 35.7151580639647
52 0.001875 0.00187324383390571 0.998126756166094 97793.2568792617 183.190615446634 97701.6615715383 3400860.96144862 34.7760272024422
53 0.00207 0.00206785976514308 0.997932140234857 97610.066263815 201.843928699893 97509.1442994651 3303159.29987708 33.840355060814
54 0.002346 0.00234325136614751 0.997656748633852 97408.2223351151 228.251950060759 97294.0963600847 3205650.15557762 32.9094410998403
55 0.002485 0.00248191621909777 0.997518083780902 97179.9703850543 241.192544670107 97059.3741127193 3108356.05921753 31.9855629395785
56 0.002718 0.00271431125100988 0.99728568874899 96938.7778403842 263.122015351302 96807.2168327086 3011296.68510481 31.0639018996413
57 0.002867 0.00286289603852877 0.997137103961471 96675.6558250329 276.772352083657 96537.2696489911 2914489.46827211 30.147087634418
58 0.003153 0.00314803711948114 0.996851962880519 96398.8834729493 303.467263449381 96247.1498412246 2817952.19862311 29.2322078545014
59 0.003298 0.00329257055116114 0.996707429448839 96095.4162094999 316.400937512972 95937.2157407434 2721705.04878189 28.3229435506917
